Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
KEN,1996,6.10,2.49,1.28,17.15,16.05,,,7.89,,2,14
KGZ,1996,6.04,0.60,1.94,15.35,15.54,,,6.30,,142,143
KHM,1996,3.97,1.25,-1.44,16.22,14.30,,,,,142,35
KIR,1996,,-2.69,-5.03,11.28,10.51,,,1.39,,9,57
KNA,1996,3.03,-1.40,-2.64,10.68,11.54,,,-1.90,,19,29
KOR,1996,9.66,6.40,5.30,17.63,19.82,,,9.32,,142,30
KWT,1996,7.84,3.45,3.05,14.31,17.73,,,6.20,,142,145
LAO,1996,4.16,0.63,-0.88,15.42,13.13,,,9.53,,142,35
LBN,1996,7.12,2.62,1.85,14.94,16.44,,,1.06,,142,145
LBR,1996,,-1.84,-1.35,14.60,12.75,,,5.16,,2,11
LBY,1996,8.46,3.33,2.65,15.42,17.60,,,5.11,,2,15
LCA,1996,3.78,-0.57,-1.75,11.91,12.71,,,,,19,29
LIE,1996,3.31,0.92,,10.35,,,,,,150,155
LKA,1996,6.13,2.63,1.29,16.72,15.77,,,6.77,,142,34
LSO,1996,4.01,-0.20,-1.09,14.39,,,,3.89,,2,18
LTU,1996,6.80,2.13,2.12,15.10,16.57,,,8.70,,150,154
LUX,1996,6.39,3.07,1.59,12.93,15.95,,,3.12,,150,155
LVA,1996,6.27,1.72,1.57,14.71,16.07,,,8.49,,150,154
MAC,1996,1.90,1.89,0.32,12.91,14.16,,,,,142,30
MAF,1996,3.59,,,10.38,,,,,,19,29
MAR,1996,7.67,3.72,2.45,17.13,17.26,,,2.86,,2,15
MCO,1996,2.52,1.14,,10.34,,,,,,150,155
MDA,1996,5.61,0.53,,15.12,16.26,,,3.11,,150,151
MDG,1996,4.37,1.39,-0.48,16.45,14.16,,,9.75,,2,14
MDV,1996,,-0.80,-2.90,12.48,12.67,,,1.35,,142,34
MEX,1996,10.13,5.98,4.89,18.38,19.65,,,10.83,,19,13
MHL,1996,,-2.20,,10.85,11.10,,,,,9,57
MKD,1996,5.53,1.49,1.70,14.49,16.28,,,4.31,,150,39
MLI,1996,4.70,0.96,-1.19,16.11,13.10,,,9.56,,2,11
MLT,1996,5.62,1.30,0.29,12.83,14.63,,,2.70,,150,39
MMR,1996,6.09,,0.88,17.63,15.80,,,13.29,,142,35
MNE,1996,4.41,,,13.32,,,,,,150,39
MNG,1996,5.02,0.30,0.86,14.66,15.90,,,10.47,,142,30
MNP,1996,4.36,,,11.01,,,,,,9,57
MOZ,1996,5.31,1.18,-0.25,16.61,13.86,,,9.56,69.4,2,14
MRT,1996,4.69,0.37,-1.82,14.69,14.91,,,4.80,,2,11
MSR,1996,,,-4.21,,,,,,,19,29
MTQ,1996,5.28,,-0.12,,,,,,,19,29
MUS,1996,5.15,1.49,-0.15,13.94,14.48,,,0.14,,2,14
MWI,1996,5.24,0.82,-0.06,16.12,13.47,,,7.09,,2,14
MYS,1996,8.39,4.61,3.77,16.87,18.65,,,11.50,,142,35
MYT,1996,,,,,,,,,,2,14
NAM,1996,5.59,1.37,0.55,14.35,14.37,,,3.69,,2,18
NCL,1996,4.12,1.28,0.27,12.19,14.38,,,,,9,54
NER,1996,4.55,0.69,-1.10,16.09,13.83,,,2.59,,2,11
NFK,1996,,,,,,,,,,9,53
NGA,1996,9.46,3.56,2.03,18.53,17.51,,,9.08,,2,11
NIC,1996,5.72,1.46,0.24,15.36,14.87,,,5.99,,19,13
NIU,1996,,,-5.88,,,,,,,9,61
NLD,1996,9.27,6.09,4.47,16.56,18.98,,,9.63,,150,155
NOR,1996,9.13,5.08,4.64,15.29,17.26,,,8.70,,150,154
NPL,1996,4.74,1.51,-0.08,16.90,14.73,,,5.19,,142,34
NRU,1996,,,-3.58,,,,,,,9,57
NZL,1996,7.59,4.24,3.49,15.13,17.17,,,8.57,,9,53
OMN,1996,7.92,2.73,1.70,14.61,16.53,,,9.70,,142,145
PAK,1996,8.88,4.15,3.65,18.65,18.36,,,6.04,,142,34
PAN,1996,6.28,2.23,1.21,14.84,15.35,,,5.99,,19,13
PCN,1996,,,,,,,,,,9,61
PER,1996,7.87,3.99,2.64,17.01,17.01,,,9.75,,19,5
PHL,1996,7.59,4.42,3.37,18.08,17.95,,,8.27,,142,35
PLW,1996,0.21,-2.22,,9.78,11.67,,,,,9,57
PNG,1996,5.01,1.64,0.46,15.39,14.60,,,10.26,,9,54
POL,1996,9.22,5.06,4.71,17.47,19.69,,,10.14,,150,151
PRI,1996,8.30,3.81,2.81,15.13,,,,5.24,,19,29
PRK,1996,3.82,,3.05,16.91,,,,7.92,,142,30
PRT,1996,8.57,4.81,3.43,16.12,17.74,,,5.66,,150,39
PRY,1996,6.98,2.28,1.38,15.40,15.14,,,10.39,,19,5
PSE,1996,7.09,1.23,,14.77,,,,,,142,145
PYF,1996,3.78,1.37,-1.16,12.30,13.27,,,1.35,,9,61
QAT,1996,7.15,2.20,1.76,13.15,17.28,,,,,142,145
REU,1996,5.32,,0.20,,,,,,,2,14
ROU,1996,7.44,3.56,3.95,16.93,18.66,,,7.73,,150,151
RUS,1996,11.25,5.97,6.55,18.81,21.20,,,12.87,,150,151
RWA,1996,3.53,0.32,-1.89,15.62,13.08,,,6.31,,2,14
SAU,1996,9.88,5.06,4.55,16.78,19.37,,,7.14,,142,145
SDN,1996,6.73,2.20,0.62,17.05,15.07,,,8.29,,2,15
SEN,1996,5.33,1.62,-0.09,16.01,15.13,,,3.28,,2,11
SGP,1996,6.32,4.57,3.07,15.12,17.83,,,6.84,,142,35
SGS,1996,,,,,,,,,,0,0
SHN,1996,,,-5.19,,,,,,,2,11
SJM,1996,,,,,,,,,,150,154
SLB,1996,,-0.57,-3.34,12.82,11.99,,,2.48,,9,54
SLE,1996,2.80,-0.06,-2.08,15.16,12.86,,,8.39,,2,11
SLV,1996,6.09,2.33,1.06,15.55,15.40,,,4.41,,19,13
SMR,1996,3.93,,,10.17,,,,,,150,39
SOM,1996,,,-1.42,15.68,,,,5.30,,2,14
SPM,1996,1.41,,-3.32,,,,,,,19,21
SRB,1996,7.21,,,15.85,,,,,,150,39
STP,1996,,,-3.98,11.76,10.77,,,1.39,,2,17
SUR,1996,4.65,-0.15,0.25,13.03,14.57,,,8.80,,19,5
SVK,1996,7.52,3.33,3.27,15.50,17.54,,,5.95,,150,151
SVN,1996,6.48,3.07,2.26,14.50,16.52,,,6.22,,150,39
SWE,1996,9.40,5.66,4.88,15.99,17.84,,,7.24,,150,154
SWZ,1996,4.37,0.47,-0.05,13.80,12.74,,,4.84,,2,18
SYC,1996,2.37,-0.69,-2.15,11.24,12.18,,,,,2,14
SYR,1996,8.27,2.62,2.42,16.51,17.61,,,2.16,,142,145
TCA,1996,,,-3.40,9.68,9.31,,,,,19,29
TCD,1996,3.48,0.47,-2.54,15.80,11.57,,,3.00,,2,17
TGO,1996,4.52,0.38,-0.51,15.30,13.87,,,8.84,,2,11
THA,1996,8.98,5.20,4.33,17.91,19.05,,,9.32,,142,35
TJK,1996,5.99,0.04,2.60,15.58,14.85,,,7.22,,142,143
TKL,1996,,,,,,,,,,9,61
TKM,1996,6.94,0.87,1.82,15.27,17.26,,,5.77,,142,143
TLS,1996,2.33,,,13.66,,,,,,142,35
TON,1996,-0.07,-1.52,-3.51,11.47,11.25,,,1.35,,9,61
TTO,1996,6.30,1.75,1.34,14.05,16.90,,,1.67,,19,29
TUN,1996,7.55,2.97,1.92,16.02,16.63,,,1.25,,2,15
TUR,1996,8.80,5.20,4.32,17.90,19.05,,,7.84,,142,145
TUV,1996,,-4.40,,9.13,,,,,,9,61
TWN,1996,8.90,,4.68,,,,,,,0,0
TZA,1996,5.90,1.87,0.59,17.24,15.06,,,10.46,,2,14
UGA,1996,5.12,1.80,-0.08,16.86,13.92,,,9.76,44.4,2,14
UKR,1996,9.00,3.80,4.99,17.75,19.84,,,8.92,,150,151
UMI,1996,0.17,,,,,,,,,0,0
URY,1996,7.09,3.02,1.63,14.99,15.51,,,6.01,,19,5
USA,1996,12.90,9.00,8.09,19.41,22.38,,,12.06,,19,21
UZB,1996,8.38,2.64,3.69,16.96,18.46,,,7.05,,142,143
VAT,1996,-0.99,,,,,,,,,150,39
VCT,1996,2.37,-1.27,,11.59,11.79,,,-2.68,,19,29
VEN,1996,9.27,4.22,4.06,16.94,18.63,,,10.53,,19,5
VGB,1996,2.99,,-3.24,,,,,,,19,29
VIR,1996,5.20,,-0.06,11.59,,,,,,19,29
VNM,1996,6.58,3.21,2.59,18.11,17.36,,,8.64,,142,35
VUT,1996,3.97,-1.41,-3.58,12.05,11.34,,,,,9,54
WLF,1996,,,,,,,,,,9,61
WSM,1996,,-1.39,-2.68,12.05,11.79,,,1.39,,9,61
YEM,1996,6.29,1.76,0.50,16.58,16.52,,,1.06,,142,145
ZAF,1996,9.45,4.97,5.11,17.50,19.70,,,8.00,,2,18
ZMB,1996,6.38,1.28,1.74,16.07,14.44,,,11.63,,2,14
ZWE,1996,6.78,2.15,2.17,16.29,16.52,,,6.76,,2,14
ABW,1995,4.72,0.28,-0.62,11.29,14.39,,,,,19,29
AFG,1995,4.38,,-0.38,16.64,14.05,,,5.08,,142,34
AGO,1995,5.46,1.62,0.07,16.38,16.21,,,1.89,,2,17
AIA,1995,1.55,,,,,,,,,19,29
ALA,1995,3.73,,,,,,,,,150,154
ALB,1995,4.62,0.89,0.77,14.97,14.55,,,6.40,,150,39
AND,1995,4.68,0.16,,11.06,12.92,,,,,150,39
ANT,1995,5.08,,-0.19,,,,,,,19,29
ARE,1995,8.49,4.19,3.05,14.67,18.07,,,6.40,,142,145
ARG,1995,9.45,5.55,4.01,17.37,18.62,,,9.50,,19,5
ARM,1995,3.83,0.38,1.05,14.99,15.07,,,4.87,,142,145
ASM,1995,1.83,,-2.12,10.88,,,,,,9,61
ATA,1995,,,,,,,,,,0,0
ATF,1995,,,,,,,,,,0,0
ATG,1995,3.75,-0.70,-2.46,11.13,12.68,,,-0.83,,19,29
AUS,1995,9.36,5.91,5.03,16.71,19.46,,,10.08,,9,53
AUT,1995,7.78,5.48,3.87,15.89,17.91,,,7.28,,150,155
AZE,1995,6.68,1.12,2.62,15.85,17.33,,,4.61,,142,145
BDI,1995,3.35,0.00,-1.97,15.65,12.68,,,4.76,,2,14
BEL,1995,9.50,5.67,4.24,16.13,18.54,,,6.61,,150,155
BEN,1995,4.27,0.77,-1.42,15.60,14.10,,,10.50,,2,11
BFA,1995,4.84,0.87,-1.53,16.13,13.35,,,5.30,,2,11
BGD,1995,6.98,3.64,2.15,18.59,16.94,,,9.23,,142,34
BGR,1995,6.98,2.57,3.50,15.94,17.88,,,5.46,,150,151
BHR,1995,6.01,1.77,1.45,13.24,16.59,,,5.74,,142,145
BHS,1995,4.55,1.23,0.09,12.54,14.34,,,4.79,,19,29
BIH,1995,3.60,0.62,1.16,15.17,15.05,,,6.08,,150,39
BLM,1995,3.83,,,,,,,,,19,29
BLR,1995,7.47,2.64,3.29,16.14,17.94,,,10.63,,150,151
BLZ,1995,2.65,-0.48,-1.78,12.24,12.84,,,3.69,,19,13
BMU,1995,3.20,0.71,-0.79,11.00,13.05,,,1.36,,19,21
BOL,1995,7.01,1.90,0.93,15.84,16.06,,,11.75,,19,5
BRA,1995,10.50,6.65,5.57,18.91,19.37,,,13.57,,19,5
BRB,1995,4.87,0.82,-0.64,12.49,13.63,,,,,19,29
BRN,1995,6.13,1.55,0.58,12.59,15.44,,,9.36,,142,35
BTN,1995,,-1.19,-2.08,13.14,12.43,,,,,142,34
BVT,1995,,,,,,,,,,0,0
BWA,1995,5.13,1.55,0.27,14.27,15.08,,,5.99,,2,18
CAF,1995,3.55,0.11,-2.38,15.02,12.37,,,10.83,,2,17
CAN,1995,11.13,6.40,6.15,17.19,19.96,,,12.08,,19,21
CCK,1995,,,,,,,,,,0,0
CHE,1995,8.28,5.83,3.89,15.77,17.48,,,7.56,,150,155
CHL,1995,8.02,4.27,3.24,16.47,17.55,,,6.54,,19,5
CHN,1995,10.75,6.59,6.78,20.91,21.92,,,11.28,,142,30
CIV,1995,5.93,2.40,0.92,16.48,15.78,,,11.73,,2,11
CMR,1995,5.47,2.17,0.79,16.45,15.29,,,11.01,,2,17
COD,1995,6.33,1.73,1.50,17.56,14.90,,,13.89,,2,17
COG,1995,5.12,0.75,-1.04,14.82,14.26,,,10.71,,2,17
COK,1995,,,-4.03,,,,,,,9,61
COL,1995,8.79,4.53,3.51,17.44,17.90,,,10.70,,19,5
COM,1995,,-1.46,-4.27,13.08,11.30,,,-4.77,,2,14
CPV,1995,3.23,-0.72,-2.62,12.87,11.64,,,,,2,11
CRI,1995,6.81,2.46,1.45,15.07,15.40,,,3.75,,19,13
CUB,1995,6.15,3.42,2.24,16.20,17.06,,,8.31,,19,29
CXR,1995,,,,,,,,,,0,0
CYM,1995,3.45,,-1.35,10.36,12.81,,,1.39,,19,29
CYP,1995,6.50,2.22,0.79,13.66,15.53,,,2.71,,142,145
CZE,1995,8.38,4.09,3.97,16.15,18.63,,,6.35,,150,151
DEU,1995,10.36,7.86,6.18,18.22,20.58,,,10.79,,150,155
DJI,1995,2.92,-0.70,-1.83,13.40,12.90,,,4.15,,2,14
DMA,1995,,-1.50,-3.20,11.18,11.30,,,1.36,,19,29
DNK,1995,8.16,5.22,3.45,15.47,17.86,,,8.07,,150,154
DOM,1995,6.70,2.79,1.29,15.88,16.58,,,6.39,,19,29
DZA,1995,8.88,3.73,2.67,17.18,18.37,,,4.76,,2,15
ECU,1995,7.72,3.20,1.80,16.25,16.94,,,6.75,,19,5
EGY,1995,9.61,4.10,3.85,17.95,18.38,,,7.56,,2,15
ERI,1995,3.75,-0.55,-1.98,14.97,12.59,,,,,2,14
ESH,1995,4.04,,-2.57,,,,,,,2,15
ESP,1995,10.13,6.42,4.98,17.49,19.30,,,8.81,,150,39
EST,1995,6.53,1.47,1.72,14.18,16.64,,,9.44,,150,154
ETH,1995,5.11,2.04,0.26,17.86,14.58,,,5.99,45.5,2,14
FIN,1995,9.62,4.90,4.18,15.45,17.78,,,6.62,,150,154
FJI,1995,2.32,0.68,-0.66,13.56,13.68,,,4.38,,9,54
FLK,1995,,,-4.58,,,,,,,19,5
FRA,1995,10.48,7.38,5.91,17.90,19.67,,,9.29,,150,155
FRO,1995,2.95,,-1.86,10.69,13.44,,,2.35,,150,154
FSM,1995,,-1.50,,11.59,,,,,,9,57
GAB,1995,6.24,1.60,-0.13,13.90,15.17,,,8.22,,2,17
GBR,1995,10.58,7.12,5.69,17.88,20.10,,,9.76,,150,154
GEO,1995,4.40,0.99,1.71,15.37,14.65,,,5.32,,142,145
GGY,1995,4.06,,,,,,,,,150,154
GHA,1995,6.70,1.87,1.73,16.63,15.51,,,9.43,,2,11
GIB,1995,1.92,,-2.56,,,,,,,150,39
GIN,1995,3.58,1.31,-0.72,15.88,14.04,,,10.77,,2,11
GLP,1995,5.31,,-0.09,,,,,,,19,29
GMB,1995,3.16,-0.24,-2.73,13.88,12.28,,,4.38,,2,11
GNB,1995,2.54,-1.37,-3.13,13.98,12.55,,,3.00,,2,11
GNQ,1995,4.12,-1.95,-4.04,13.01,11.79,,,2.08,,2,17
GRC,1995,7.99,4.92,3.60,16.18,18.18,,,7.97,,150,39
GRD,1995,1.36,-1.29,-2.51,11.52,11.94,,,0.68,,19,29
GRL,1995,2.71,0.19,-1.49,10.93,13.13,,,,,19,21
GTM,1995,6.34,2.68,1.10,16.15,15.78,,,8.36,,19,13
GUF,1995,4.36,,-0.93,,,,,,,19,5
GUM,1995,5.64,,0.41,11.89,,,,1.39,,9,57
GUY,1995,3.92,-0.48,-0.81,13.50,14.20,,,9.35,,19,5
HKG,1995,6.69,4.97,3.28,15.63,17.27,,,5.08,,142,30
HMD,1995,,,,,,,,,,0,0
HND,1995,6.10,1.36,0.44,15.54,15.17,,,8.64,,19,13
HRV,1995,6.85,3.11,2.35,15.36,16.68,,,5.70,,150,39
HTI,1995,4.31,0.99,-1.31,15.87,13.71,,,1.36,,19,29
HUN,1995,7.95,3.83,3.40,16.15,17.92,,,7.08,,150,151
IDN,1995,8.93,5.31,3.91,19.10,19.23,,,13.59,,142,35
IMN,1995,3.78,-0.09,,11.19,,,,,,150,154
IND,1995,10.18,5.90,5.76,20.68,20.64,,,10.68,,142,34
IOT,1995,2.59,,,,,,,,,0,0
IRL,1995,7.28,4.24,2.71,15.10,17.31,,,9.22,,150,154
IRN,1995,9.81,4.51,4.15,17.92,19.43,,,7.71,,142,34
IRQ,1995,8.44,,3.26,16.82,18.17,,,8.09,,142,145
ISL,1995,6.01,1.97,1.53,12.50,14.48,,,9.78,,150,154
ISR,1995,8.44,4.60,3.28,15.53,17.76,,,6.95,,142,145
ITA,1995,10.56,7.07,5.49,17.86,19.88,,,8.55,,150,39
JAM,1995,6.31,1.76,1.58,14.72,16.09,,,4.49,27.5,19,29
JEY,1995,3.55,,,,,,,,,150,154
JOR,1995,7.17,1.91,1.68,15.25,16.42,,,-3.25,,142,145
JPN,1995,10.91,8.58,6.79,18.65,20.89,,,11.22,,142,30
KAZ,1995,8.46,3.01,4.07,16.58,18.93,,,8.28,,142,143
KEN,1995,6.02,2.20,1.24,17.13,15.84,,,7.85,,2,14
KGZ,1995,6.17,0.51,2.08,15.33,15.31,,,6.10,,142,143
KHM,1995,3.63,1.24,-1.58,16.19,14.25,,,,,142,35
KIR,1995,,-2.85,-5.03,11.26,10.00,,,1.39,,9,57
KNA,1995,3.12,-1.47,-2.65,10.67,11.47,,,-2.59,,19,29
KOR,1995,9.52,6.33,5.19,17.62,19.74,,,9.02,,142,30
KWT,1995,7.89,3.30,2.98,14.31,17.82,,,6.19,,142,145
LAO,1995,4.17,0.57,-1.09,15.40,12.84,,,9.83,,142,35
LBN,1995,6.69,2.46,1.48,14.93,16.43,,,1.07,,142,145
LBR,1995,,-2.00,-1.35,14.55,12.72,,,5.15,,2,11
LBY,1995,8.41,3.24,2.66,15.40,17.64,,,5.02,,2,15
LCA,1995,3.79,-0.58,-1.76,11.90,12.65,,,,,19,29
LIE,1995,3.66,0.89,,10.34,,,,,,150,155
LKA,1995,6.38,2.57,1.35,16.71,15.59,,,6.77,28.8,142,34
LSO,1995,3.86,-0.15,-1.13,14.38,,,,3.88,,2,18
LTU,1995,6.55,2.07,2.13,15.10,16.60,,,8.69,,150,154
LUX,1995,6.22,3.08,1.61,12.92,15.93,,,2.78,,150,155
LVA,1995,6.38,1.66,1.58,14.73,16.08,,,8.49,,150,154
MAC,1995,1.90,1.88,0.38,12.90,14.03,,,,,142,30
MAF,1995,3.78,,,10.40,,,,,,19,29
MAR,1995,7.75,3.62,2.43,17.12,17.23,,,2.86,,2,15
MCO,1995,2.54,1.14,,10.33,,,,,,150,155
MDA,1995,5.64,0.56,,15.12,16.23,,,3.11,,150,151
MDG,1995,4.20,1.15,-0.57,16.41,14.09,,,9.89,,2,14
MDV,1995,,-0.92,-2.99,12.45,12.52,,,1.36,,142,34
MEX,1995,10.16,5.84,4.83,18.36,19.61,,,10.70,,19,13
MHL,1995,,-2.12,,10.84,11.10,,,,,9,57
MKD,1995,5.78,1.49,1.63,14.49,16.20,,,4.23,,150,39
MLI,1995,4.63,0.90,-1.26,16.08,13.06,,,9.59,,2,11
MLT,1995,5.63,1.28,0.32,12.82,14.57,,,2.18,,150,39
MMR,1995,5.92,,0.85,17.62,15.76,,,13.59,,142,35
MNE,1995,4.46,,,13.32,,,,,,150,39
MNG,1995,4.87,0.37,0.85,14.65,15.89,,,10.45,,142,30
MNP,1995,4.32,,,10.96,,,,,,9,57
MOZ,1995,5.27,0.81,-0.21,16.58,13.92,,,9.68,,2,14
MRT,1995,4.43,0.35,-1.91,14.66,14.90,,,4.80,,2,11
MSR,1995,,,-4.21,,,,,,,19,29
MTQ,1995,5.25,,-0.16,,,,,,,19,29
MUS,1995,5.07,1.40,-0.01,13.93,14.42,,,-0.39,,2,14
MWI,1995,5.17,0.33,-0.05,16.10,13.50,,,7.09,,2,14
MYS,1995,8.27,4.49,3.67,16.85,18.61,,,11.71,,142,35
MYT,1995,,,,,,,,,,2,14
NAM,1995,5.46,1.37,0.55,14.32,14.31,,,3.69,,2,18
NCL,1995,4.14,1.29,0.38,12.17,14.36,,,,,9,54
NER,1995,4.53,0.63,-1.14,16.05,13.73,,,2.41,,2,11
NFK,1995,,,,,,,,,,9,53
NGA,1995,9.30,3.35,2.07,18.50,17.37,,,9.10,,2,11
NIC,1995,5.67,1.42,0.17,15.34,14.84,,,5.99,,19,13
NIU,1995,,,-5.88,,,,,,,9,61
NLD,1995,9.36,6.10,4.43,16.55,18.94,,,9.59,,150,155
NOR,1995,9.23,5.00,4.65,15.29,17.25,,,8.69,,150,154
NPL,1995,4.69,1.48,-0.02,16.88,14.53,,,5.19,,142,34
NRU,1995,0.55,,-3.58,,,,,,,9,57
NZL,1995,7.54,4.15,3.45,15.12,17.12,,,8.57,,9,53
OMN,1995,7.85,2.62,1.65,14.60,16.58,,,9.68,,142,145
PAK,1995,8.90,4.10,3.66,18.62,18.25,,,6.04,,142,34
PAN,1995,6.26,2.07,1.06,14.82,14.91,,,5.99,,19,13
PCN,1995,,,,,,,,,,9,61
PER,1995,7.77,3.95,2.60,17.00,16.99,,,9.72,,19,5
PHL,1995,7.48,4.31,3.28,18.06,17.92,,,8.54,,142,35
PLW,1995,-0.71,-2.35,,9.76,11.64,,,,,9,57
PNG,1995,4.85,1.53,0.35,15.37,14.54,,,10.27,,9,54
POL,1995,9.31,4.94,4.68,17.47,19.66,,,10.14,,150,151
PRI,1995,8.35,3.75,2.78,15.12,,,,5.18,,19,29
PRK,1995,4.18,,3.14,16.90,,,,7.86,,142,30
PRT,1995,8.49,4.77,3.38,16.12,17.77,,,5.48,,150,39
PRY,1995,6.97,2.20,1.18,15.38,15.19,,,10.35,,19,5
PSE,1995,6.99,1.19,,14.72,,,,,,142,145
PYF,1995,3.68,1.38,-1.17,12.28,13.26,,,1.36,,9,61
QAT,1995,7.10,2.10,1.64,13.12,17.24,,,,,142,145
REU,1995,5.28,,0.07,,,,,,,2,14
ROU,1995,7.52,3.57,3.92,16.94,18.66,,,7.78,,150,151
RUS,1995,11.32,5.98,6.57,18.82,21.21,,,12.66,,150,151
RWA,1995,3.34,0.26,-1.83,15.59,13.04,,,6.27,,2,14
SAU,1995,9.88,4.96,4.52,16.75,19.28,,,7.12,,142,145
SDN,1995,6.73,2.63,0.59,17.02,15.14,,,8.29,,2,15
SEN,1995,5.29,1.58,-0.12,15.98,15.07,,,3.27,,2,11
SGP,1995,6.32,4.48,3.02,15.08,17.67,,,6.74,,142,35
SGS,1995,,,,,,,,,,0,0
SHN,1995,,,-5.19,,,,,,,2,11
SJM,1995,,,,,,,,,,150,154
SLB,1995,,-0.66,-3.48,12.79,11.99,,,2.48,,9,54
SLE,1995,2.77,-0.14,-2.48,15.16,12.77,,,8.41,,2,11
SLV,1995,6.14,2.25,1.03,15.54,15.48,,,4.38,,19,13
SMR,1995,3.88,,,10.16,,,,,,150,39
SOM,1995,,,-1.44,15.66,9.31,,,5.30,,2,14
SPM,1995,2.30,,-3.32,,,,,,,19,21
SRB,1995,7.30,,,15.85,,,,,,150,39
STP,1995,,,-4.04,11.74,10.77,,,1.39,,2,17
SUR,1995,4.59,-0.37,0.39,13.01,14.60,,,8.76,,19,5
SVK,1995,7.67,3.25,3.19,15.49,17.56,,,5.74,,150,151
SVN,1995,6.31,3.06,2.27,14.50,16.48,,,6.23,,150,39
SWE,1995,9.80,5.58,4.88,15.99,17.83,,,7.17,,150,154
SWZ,1995,4.29,0.53,0.00,13.78,13.03,,,4.83,,2,18
SYC,1995,2.21,-0.68,-2.18,11.23,12.14,,,,,2,14
SYR,1995,8.23,2.43,2.29,16.48,17.60,,,2.17,,142,145
TCA,1995,,,-3.37,9.64,9.31,,,,,19,29
TCD,1995,3.62,0.37,-2.55,15.76,11.54,,,3.00,,2,17
TGO,1995,4.46,0.27,-0.47,15.27,13.77,,,8.86,,2,11
THA,1995,8.86,5.12,4.24,17.90,18.94,,,9.56,,142,35
TJK,1995,6.08,0.21,2.61,15.57,14.71,,,7.51,,142,143
TKL,1995,,,,,,,,,,9,61
TKM,1995,6.90,0.91,1.79,15.25,17.36,,,5.70,,142,143
TLS,1995,2.18,,,13.66,,,,,,142,35
TON,1995,-0.07,-1.60,-3.65,11.47,11.47,,,1.36,,9,61
TTO,1995,6.34,1.67,1.29,14.04,16.86,,,1.63,,19,29
TUN,1995,7.55,2.89,1.82,16.01,16.57,,,1.25,,2,15
TUR,1995,8.85,5.13,4.23,17.88,18.96,,,7.86,,142,145
TUV,1995,,-4.51,,9.13,,,,,,9,61
TWN,1995,8.83,,4.63,,,,,,,0,0
TZA,1995,5.77,1.66,0.44,17.21,15.08,,,10.61,,2,14
UGA,1995,5.07,1.75,-0.15,16.83,13.81,,,9.75,,2,14
UKR,1995,9.03,3.88,5.09,17.76,19.92,,,8.94,,150,151
UMI,1995,-0.34,,,,,,,,,0,0
URY,1995,6.97,2.96,1.62,14.99,15.34,,,6.00,,19,5
USA,1995,12.88,8.94,8.06,19.40,22.36,,,11.91,,19,21
UZB,1995,8.43,2.59,3.68,16.94,18.44,,,7.02,,142,143
VAT,1995,-0.99,,,,,,,,,150,39
VCT,1995,2.43,-1.32,,11.59,11.76,,,-3.89,,19,29
VEN,1995,9.30,4.32,4.03,16.92,18.71,,,10.50,,19,5
VGB,1995,3.02,,-3.24,,,,,,,19,29
VIR,1995,5.19,,-0.07,11.59,,,,,,19,29
VNM,1995,6.37,3.03,2.41,18.09,17.19,,,8.66,,142,35
VUT,1995,3.58,-1.45,-3.65,12.03,11.10,,,,,9,54
WLF,1995,,,,,,,,,,9,61
WSM,1995,,-1.49,-2.79,12.04,11.79,,,1.39,,9,61
YEM,1995,6.31,1.45,0.54,16.54,16.24,,,1.07,,142,145
ZAF,1995,9.40,5.02,5.09,17.48,19.68,,,8.04,,2,18
ZMB,1995,6.34,1.34,1.81,16.04,14.59,,,11.77,,2,14
ZWE,1995,6.80,1.96,2.14,16.27,16.53,,,6.75,,2,14
ABW,1994,4.69,0.29,-0.71,11.25,14.38,,,,,19,29
AFG,1994,4.40,,-0.29,16.58,14.09,,,5.08,,142,34
AGO,1994,5.33,1.40,0.07,16.35,15.17,,,1.90,,2,17
AIA,1994,0.35,,,,,,,,,19,29
ALA,1994,3.04,,,,,,,,,150,154
ALB,1994,4.45,0.69,0.70,14.98,14.47,,,6.40,,150,39
AND,1994,4.56,0.02,,11.05,,,,,,150,39
ANT,1994,5.06,,-0.22,,,,,,,19,29
ARE,1994,8.49,4.08,2.75,14.62,18.11,,,6.48,,142,145
ARG,1994,9.45,5.55,3.91,17.36,18.63,,,9.33,,19,5
ARM,1994,4.33,0.27,1.19,15.01,14.90,,,4.83,,142,145
ASM,1994,3.06,,-2.18,10.86,,,,,,9,61
ATA,1994,,,,,,,,,,0,0
ATF,1994,,,,,,,,,,0,0
ATG,1994,3.83,-0.69,-2.47,11.11,12.65,,,-1.50,,19,29
AUS,1994,9.41,5.78,4.99,16.70,19.44,,,10.57,,9,53
AUT,1994,7.80,5.31,3.85,15.89,17.86,,,7.11,,150,155
AZE,1994,6.96,1.20,2.68,15.84,17.57,,,4.82,,142,145
BDI,1994,3.50,-0.08,-1.89,15.63,12.72,,,4.67,,2,14
BEL,1994,9.48,5.50,4.22,16.13,18.54,,,6.43,,150,155
BEN,1994,4.27,0.47,-1.38,15.57,14.05,,,10.40,,2,11
BFA,1994,4.80,0.64,-1.65,16.10,13.38,,,5.30,,2,11
BGD,1994,6.97,3.52,2.11,18.57,16.76,,,9.23,,142,34
