Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
GRL,2012,3.14,,-1.23,10.95,13.25,,,,,19,21
GTM,2012,7.18,3.92,2.10,16.55,16.30,,,8.52,,19,13
GUF,2012,4.86,,-0.58,,,,,,,19,5
GUM,2012,5.53,,0.45,12.00,,,,,,9,57
GUY,2012,4.43,1.05,-0.58,13.54,14.51,,,2.89,,19,5
HKG,2012,6.70,5.57,3.71,15.78,17.59,,,5.01,,142,30
HMD,2012,,,,,,,,,,0,0
HND,2012,7.04,2.92,1.62,15.86,16.01,,,7.40,66.5,19,13
HRV,2012,8.26,4.03,2.98,15.27,16.71,,,4.49,19.5,150,39
HTI,2012,4.93,2.07,-0.79,16.15,14.66,,,4.41,58.5,19,29
HUN,2012,8.37,4.84,3.60,16.11,17.61,,,7.49,14.3,150,151
IDN,2012,9.62,6.78,5.12,19.33,20.21,,,7.85,12,142,35
IMN,2012,3.67,,,11.36,,,,,,150,154
IND,2012,11.11,7.53,6.76,20.96,21.43,,,11.94,,142,34
IOT,2012,,,,,,,,,,0,0
IRL,2012,7.89,5.40,3.19,15.34,17.39,,,7.16,,150,154
IRN,2012,10.64,6.22,5.27,18.15,20.28,,,8.54,,142,34
IRQ,2012,9.58,5.38,3.80,17.31,18.85,,,6.13,18.9,142,145
ISL,2012,6.58,2.65,2.83,12.68,14.44,,,5.57,,150,154
ISR,2012,8.82,5.55,3.97,15.88,18.14,,,7.94,,142,145
ITA,2012,11.16,7.65,5.71,17.90,19.73,,,9.66,,150,39
JAM,2012,6.35,2.69,1.10,14.81,15.81,,,5.11,19.9,19,29
JEY,2012,3.90,,,,,,,,,150,154
JOR,2012,8.25,3.43,2.63,15.66,17.03,,,5.26,,142,145
JPN,2012,10.98,8.69,6.83,18.66,20.93,,,11.18,,142,30
KAZ,2012,9.20,5.32,4.39,16.64,19.32,,,10.32,3.8,142,143
KEN,2012,6.54,3.92,1.89,17.57,16.34,,,7.25,,2,14
KGZ,2012,6.48,1.89,2.30,15.54,16.13,,,4.22,38,142,143
KHM,2012,5.73,2.64,1.10,16.51,15.51,,,11.20,17.7,142,35
KIR,2012,,-1.74,-3.72,11.58,11.04,,,,,9,57
KNA,2012,3.73,-0.31,-2.04,10.89,12.54,,,1.69,,19,29
KOR,2012,10.02,7.11,6.18,17.73,20.19,,,9.10,,142,30
KWT,2012,8.32,5.16,3.91,15.05,18.43,,,7.28,,142,145
LAO,2012,6.07,2.24,1.06,15.68,14.59,,,11.83,23.2,142,35
LBN,2012,7.21,3.77,2.56,15.31,16.94,,,1.27,,142,145
LBR,2012,3.86,0.55,-1.28,15.25,13.85,,,5.78,,2,11
LBY,2012,8.96,4.41,3.32,15.65,17.77,,,5.90,,2,15
LCA,2012,4.46,0.26,-1.09,12.11,12.92,,,,,19,29
LIE,2012,4.32,,,10.51,10.77,,,,,150,155
LKA,2012,7.01,4.08,2.32,16.83,16.60,,,4.51,6.7,142,34
LSO,2012,4.56,0.85,-0.35,14.54,14.61,,,7.34,,2,18
LTU,2012,7.51,3.75,2.27,14.91,16.44,,,7.17,20.6,150,154
LUX,2012,6.59,4.03,1.81,13.18,16.18,,,4.98,,150,155
LVA,2012,7.29,3.35,1.97,14.53,15.77,,,7.20,19.4,150,154
MAC,2012,1.90,3.76,1.44,13.23,14.64,,,,,142,30
MAF,2012,3.93,,,10.34,,,,,,19,29
MAR,2012,8.60,4.56,3.28,17.31,17.95,,,2.75,,2,15
MCO,2012,2.54,,,10.53,,,,,,150,155
MDA,2012,6.21,1.99,,15.09,15.41,,,3.53,16.6,150,151
MDG,2012,5.06,2.29,0.63,16.92,14.80,,,11.38,,2,14
MDV,2012,,0.75,-1.32,12.86,13.89,,,,,142,34
MEX,2012,10.60,7.08,5.46,18.62,19.99,,,10.10,,19,13
MHL,2012,,-1.69,,10.87,11.54,,,,,9,57
MKD,2012,6.59,2.26,2.00,14.54,16.01,,,5.23,26.2,150,39
MLI,2012,5.86,2.34,-0.12,16.60,13.81,,,10.78,,2,11
MLT,2012,5.68,2.18,0.62,12.95,14.80,,,5.15,,150,39
MMR,2012,7.17,,2.05,17.78,16.38,,,12.91,,142,35
MNE,2012,6.01,1.40,1.18,13.34,14.66,,,,11.3,150,39
MNG,2012,6.38,2.33,1.44,14.85,17.30,,,7.70,27.4,142,30
MNP,2012,3.79,,,10.88,,,,,,9,57
MOZ,2012,6.78,2.70,2.42,17.06,14.95,,,12.81,,2,14
MRT,2012,5.37,1.38,-0.04,15.14,14.79,,,7.22,,2,11
MSR,2012,,,-3.76,,,,,,,19,29
